Type,LocationLat,LocationLng
Cold,43.745,-111.0912
Cold,43.745,-111.0912
Cold,43.745,-111.0912
Cold,41.3509,-71.8054
Cold,33.2338,-119.4559
Cold,39.2281,-106.3161
Cold,39.2281,-106.3161
Fog,26.5381,-81.7567
Fog,26.5381,-81.7567
Fog,26.5381,-81.7567
Fog,26.5381,-81.7567
Fog,37.2958,-81.2077
Cold,39.2953,-114.8466
Cold,41.7865,-111.8519
Fog,41.7865,-111.8519
Cold,41.7865,-111.8519
Fog,41.7865,-111.8519
Fog,41.7865,-111.8519
Cold,36.7418,-104.5076
Fog,27.9126,-82.6855
Fog,27.9126,-82.6855
Fog,27.9126,-82.6855
Fog,27.1816,-80.2252
Cold,42.9203,-112.5711
Fog,42.9203,-112.5711
Cold,42.9203,-112.5711
Fog,42.9203,-112.5711
Cold,42.9203,-112.5711
Cold,43.5208,-112.0661
Cold,43.5208,-112.0661
Cold,37.062,-81.7977
Cold,39.7945,-105.7639
Cold,39.7945,-105.7639
Fog,36.3135,-119.3884
Fog,47.2381,-123.1408
Fog,36.6869,-77.4828
Fog,32.3336,-104.2584
Fog,32.3336,-104.2584
Fog,32.3336,-104.2584
Cold,36.7696,-88.5847
Fog,28.5465,-81.3354
Fog,28.5465,-81.3354
Fog,28.5465,-81.3354
Storm,29.4447,-90.2611
Cold,35.5946,-92.4455
Fog,27.0716,-82.4403
Fog,27.0716,-82.4403
Fog,27.0716,-82.4403
Fog,27.0716,-82.4403
Fog,27.0716,-82.4403
Fog,27.0716,-82.4403
Fog,27.0716,-82.4403
Fog,27.0716,-82.4403
Cold,41.8065,-107.1952
Fog,34.3061,-81.6414
Cold,41.4836,-120.5615
Fog,43.2337,-123.3577
Fog,36.9851,-120.1106
Fog,36.9851,-120.1106
Fog,36.9851,-120.1106
Fog,36.9851,-120.1106
Fog,36.9851,-120.1106
Cold,43.8321,-111.8075
Fog,31.9478,-102.2086
Cold,39.4752,-106.1523
Cold,39.4752,-106.1523
Fog,28.615,-80.6945
Cold,38.5339,-106.93299999999999
Fog,32.921,-80.6406
Fog,32.01,-81.1457
Fog,32.01,-81.1457
Cold,32.1422,-111.1746
Cold,42.7956,-109.8069
Fog,33.2578,-81.3883
Cold,36.7311,-97.0997
Cold,44.523,-114.2161
Cold,44.523,-114.2161
Fog,47.6151,-117.6558
Fog,47.6151,-117.6558
Fog,47.6151,-117.6558
Fog,30.2129,-81.8707
Fog,30.2129,-81.8707
Fog,30.2129,-81.8707
Fog,30.2129,-81.8707
Fog,36.2927,-95.4796
Fog,27.2663,-80.8487
Fog,40.3149,-78.8307
Fog,27.6556,-80.4179
Cold,34.0147,-84.5964
Fog,29.1637,-82.221
Fog,38.4225,-113.0109
Storm,42.6213,-89.0419
Fog,26.1554,-81.7746
Fog,40.7707,-111.965
Fog,40.7707,-111.965
Storm,31.8331,-104.8098
Storm,31.8331,-104.8098
Cold,36.2925,-92.5851
Cold,37.7013,-112.149
Fog,27.9471,-81.7811
Fog,27.9471,-81.7811
Fog,27.9471,-81.7811
Fog,27.9471,-81.7811
Fog,47.4542,-115.6697
Fog,47.4542,-115.6697
Fog,47.4542,-115.6697
Fog,31.9206,-102.3867
Fog,31.9206,-102.3867
Fog,32.8566,-109.63600000000001
Cold,42.4785,-114.4774
Cold,42.4785,-114.4774
Fog,47.6214,-117.5278
Fog,47.6214,-117.5278
Fog,35.611,-106.0957
Fog,37.2848,-120.5139
Fog,37.2848,-120.5139
Cold,42.578,-110.1097
Fog,40.3315,-103.807
Cold,44.3853,-74.2062
Fog,27.8493,-82.5212
Fog,33.063,-80.279
Fog,36.9875,-82.53
Fog,26.4338,-81.4014
Fog,26.4338,-81.4014
Fog,26.4338,-81.4014
Fog,26.4338,-81.4014
Cold,40.0536,-106.3689
Fog,35.613,-100.9963
Fog,26.5849,-81.8615
Fog,26.5849,-81.8615
Fog,35.0028,-105.6628
Fog,35.0028,-105.6628
Fog,35.0028,-105.6628
Fog,35.0028,-105.6628
Fog,35.0028,-105.6628
Storm,44.2708,-71.3035
Fog,29.0569,-80.9491
Cold,40.0684,-118.5702
Fog,39.001,-80.2712
Fog,28.804000000000002,-82.318
Fog,28.804000000000002,-82.318
Cold,44.4505,-95.8219
Fog,32.701,-80.003
Fog,32.3829,-86.3658
Fog,32.3829,-86.3658
Fog,32.3829,-86.3658
Fog,39.5827,-79.3418
Fog,39.5827,-79.3418
Fog,34.7128,-79.9622
Fog,40.6196,-111.9902
Fog,40.6196,-111.9902
Cold,45.1238,-113.8813
Cold,45.1238,-113.8813
Fog,31.7801,-103.2018
Fog,41.2731,-111.0306
Fog,41.2731,-111.0306
Fog,35.1939,-83.8618
Fog,28.4183,-81.3241
Fog,28.4183,-81.3241
Fog,34.8544,-83.9973
Fog,25.9146,-97.4231
Cold,37.0008,-101.88
Cold,37.0008,-101.88
Fog,28.866,-82.5741
Fog,28.866,-82.5741
Fog,32.3311,-102.5294
Fog,47.2765,-121.3382
Fog,47.2765,-121.3382
Fog,47.2765,-121.3382
Fog,47.2765,-121.3382
Fog,44.8942,-116.0998
Fog,44.8942,-116.0998
