Type,LocationLat,LocationLng
Cold,43.6822,-93.3722
Cold,43.9581,-90.7397
Cold,43.9581,-90.7397
Fog,45.7691,-122.8637
Cold,46.0244,-92.8991
Cold,46.0244,-92.8991
Cold,44.3048,-96.8169
Cold,41.534,-93.6531
Cold,45.0625,-93.3508
Cold,44.9324,-93.0559
Cold,44.9358,-74.8455
Cold,40.6675,-89.6839
Cold,46.1731,-98.0799
Fog,47.0792,-122.5808
Fog,47.0792,-122.5808
Fog,47.0792,-122.5808
Fog,47.0792,-122.5808
Fog,47.0792,-122.5808
Fog,47.0792,-122.5808
Cold,40.7242,-95.0222
Cold,40.7242,-95.0222
Fog,46.0946,-118.2858
Fog,46.0946,-118.2858
Fog,47.166000000000004,-88.4807
Cold,48.8844,-99.6208
Cold,48.8844,-99.6208
Cold,41.0521,-91.9834
Cold,43.6424,-70.3044
Cold,40.9611,-98.3136
Cold,40.9611,-98.3136
Cold,48.3008,-102.4064
Cold,46.8715,-68.0179
Cold,46.8715,-68.0179
Cold,45.6689,-96.9914
Cold,46.2865,-96.1534
Cold,42.9895,-96.0606
Cold,41.7635,-96.1779
Cold,42.743,-93.7592
Cold,42.1106,-92.9161
Fog,39.8261,-84.0483
Cold,48.48,-99.236
Cold,41.0185,-93.3608
Cold,43.208,-95.8352
Cold,43.6217,-96.2139
Cold,43.6496,-94.9884
Cold,38.2506,-86.9472
Storm,39.7945,-105.7639
Storm,39.7945,-105.7639
Storm,39.7945,-105.7639
Storm,39.7945,-105.7639
Storm,39.7945,-105.7639
Storm,39.7945,-105.7639
Storm,39.7945,-105.7639
Cold,39.7556,-82.6571
Cold,43.3504,-76.3832
Fog,43.3504,-76.3832
Fog,36.3135,-119.3884
Cold,48.3904,-100.0243
Cold,46.218,-100.245
Cold,41.2612,-95.7604
Cold,44.3827,-100.286
Cold,48.928999999999995,-103.29700000000001
Cold,38.7578,-104.3013
Cold,44.7603,-106.9741
Fog,44.7603,-106.9741
Cold,41.5844,-95.3397
Cold,41.5844,-95.3397
Cold,33.9422,-96.3944
Cold,33.9422,-96.3944
Cold,45.5628,-93.2644
Cold,48.7531,-98.3937
Cold,41.9905,-93.6185
Cold,43.7659,-99.3216
Cold,43.7659,-99.3216
Cold,43.5349,-72.9514
Fog,33.9753,-117.6361
Cold,46.8128,-101.8602
Cold,46.9412,-98.01799999999999
Cold,39.4743,-88.2723
Cold,40.1589,-89.3389
Cold,43.0665,-83.2716
Cold,43.0665,-83.2716
Cold,42.4708,-93.27
Cold,44.0556,-75.7195
Cold,44.0556,-75.7195
Cold,46.6833,-92.0925
Cold,44.0459,-103.0544
Cold,40.4774,-88.9143
Cold,45.8886,-93.26899999999999
Cold,45.1426,-93.2127
Fog,32.6922,-117.2098
Fog,32.6922,-117.2098
Fog,32.6922,-117.2098
Cold,47.4733,-111.3822
Cold,42.3914,-96.3792
Fog,47.1039,-122.2872
Fog,47.1039,-122.2872
Fog,47.1039,-122.2872
Fog,47.1039,-122.2872
Fog,47.1039,-122.2872
Cold,40.9329,-90.4334
Cold,40.9329,-90.4334
Cold,33.4503,-88.5914
Cold,46.9258,-98.6691
Cold,44.5754,-71.1759
Cold,44.5754,-71.1759
Cold,43.967,-88.5581
Fog,43.2337,-123.3577
Fog,43.2337,-123.3577
Cold,35.2578,-113.9331
Fog,36.9851,-120.1106
Fog,36.9851,-120.1106
Fog,36.9851,-120.1106
Cold,44.5202,-109.0238
Cold,40.4615,-91.4274
Cold,43.9392,-90.2532
Cold,43.9392,-90.2532
Cold,43.677,-92.1742
Fog,41.1795,-78.8933
Fog,41.1795,-78.8933
Fog,41.1795,-78.8933
Fog,41.1795,-78.8933
Fog,38.2578,-122.6053
Cold,41.5175,-88.179
Cold,47.2521,-91.4098
Cold,43.6551,-95.5792
Cold,40.95,-95.9178
Cold,41.367,-91.1406
Cold,41.367,-91.1406
Cold,42.4536,-91.9476
Cold,42.4536,-91.9476
Cold,42.5748,-99.9983
Cold,44.5691,-72.018
Cold,43.1702,-88.725
Cold,43.1702,-88.725
Cold,40.6481,-86.1521
Cold,40.6481,-86.1521
Cold,40.6481,-86.1521
Cold,34.1469,-97.1225
Cold,43.7696,-88.4907
Cold,42.3984,-90.7091
Cold,45.4436,-98.4138
Cold,29.3842,-98.5811
Cold,45.5643,-93.60799999999999
Cold,39.774,-90.2419
Cold,39.8233,-93.5792
Fog,40.3149,-78.8307
Cold,45.4935,-90.9985
Cold,44.5359,-72.6162
Cold,44.5359,-72.6162
Cold,45.5464,-100.4078
Cold,41.196000000000005,-96.1123
Cold,41.196000000000005,-96.1123
Cold,41.196000000000005,-96.1123
Cold,44.7792,-95.0303
Cold,41.6134,-90.5948
