Type,Severity,LocationLat,LocationLng
Cold,Severe,43.6822,-93.3722
Cold,Severe,43.9581,-90.7397
Cold,Severe,43.9581,-90.7397
Snow,Light,42.8808,-85.5228
Snow,Light,42.8808,-85.5228
Fog,Moderate,42.5764,-84.8124
Snow,Light,42.5764,-84.8124
Snow,Light,42.5764,-84.8124
Snow,Light,42.5764,-84.8124
Fog,Severe,45.7691,-122.8637
Cold,Severe,46.0244,-92.8991
Cold,Severe,46.0244,-92.8991
Snow,Light,40.9181,-81.4434
Cold,Severe,44.3048,-96.8169
Cold,Severe,41.534,-93.6531
Cold,Severe,45.0625,-93.3508
Rain,Light,31.1387,-97.7145
Snow,Light,31.1387,-97.7145
Snow,Light,41.1881,-103.6774
Snow,Light,41.1881,-103.6774
Snow,Light,41.1881,-103.6774
Snow,Light,41.1881,-103.6774
Snow,Light,41.1881,-103.6774
Snow,Light,41.1881,-103.6774
Snow,Light,41.1881,-103.6774
Cold,Severe,44.9324,-93.0559
Cold,Severe,44.9358,-74.8455
Cold,Severe,40.6675,-89.6839
Cold,Severe,46.1731,-98.0799
Fog,Severe,47.0792,-122.5808
Fog,Severe,47.0792,-122.5808
Rain,Light,47.0792,-122.5808
Fog,Severe,47.0792,-122.5808
Rain,Light,47.0792,-122.5808
Fog,Severe,47.0792,-122.5808
Fog,Severe,47.0792,-122.5808
Rain,Light,47.0792,-122.5808
Rain,Light,47.0792,-122.5808
Rain,Light,47.0792,-122.5808
Fog,Severe,47.0792,-122.5808
Cold,Severe,40.7242,-95.0222
Cold,Severe,40.7242,-95.0222
Rain,Light,26.5381,-81.7567
Rain,Light,26.5381,-81.7567
Snow,Light,42.5709,-77.7131
Fog,Moderate,42.5709,-77.7131
Snow,Light,42.5709,-77.7131
Snow,Light,37.2958,-81.2077
Snow,Light,37.2958,-81.2077
Snow,Light,37.2958,-81.2077
Rain,Light,31.554000000000002,-81.8825
Rain,Light,31.554000000000002,-81.8825
Fog,Severe,46.0946,-118.2858
Fog,Severe,46.0946,-118.2858
Snow,Light,46.0946,-118.2858
Fog,Severe,47.166000000000004,-88.4807
Snow,Light,47.166000000000004,-88.4807
Fog,Moderate,41.7016,-74.795
Cold,Severe,48.8844,-99.6208
Cold,Severe,48.8844,-99.6208
Cold,Severe,41.0521,-91.9834
Cold,Severe,43.6424,-70.3044
Snow,Light,31.1525,-97.4078
Rain,Light,31.2504,-82.3957
Rain,Light,31.2504,-82.3957
Cold,Severe,40.9611,-98.3136
Cold,Severe,40.9611,-98.3136
Rain,Light,27.9126,-82.6855
Rain,Light,27.9126,-82.6855
Rain,Light,27.9126,-82.6855
Rain,Light,27.9126,-82.6855
Fog,Moderate,48.3008,-102.4064
Cold,Severe,48.3008,-102.4064
Cold,Severe,46.8715,-68.0179
Cold,Severe,46.8715,-68.0179
Snow,Light,46.8715,-68.0179
Snow,Light,41.1579,-104.8081
Snow,Light,41.1579,-104.8081
Snow,Light,31.6412,-96.5144
Cold,Severe,45.6689,-96.9914
Cold,Severe,46.2865,-96.1534
Snow,Light,30.8721,-96.6222
Cold,Severe,42.9895,-96.0606
Snow,Light,42.1078,-77.9842
Fog,Moderate,42.1078,-77.9842
Snow,Light,42.1078,-77.9842
Fog,Moderate,42.1078,-77.9842
Snow,Light,42.1078,-77.9842
Snow,Light,42.1078,-77.9842
Fog,Moderate,42.1078,-77.9842
Snow,Light,42.1078,-77.9842
Fog,Moderate,42.1078,-77.9842
Snow,Light,42.1078,-77.9842
Fog,Moderate,42.1078,-77.9842
Fog,Moderate,42.1078,-77.9842
Snow,Light,42.1078,-77.9842
Cold,Severe,41.7635,-96.1779
Fog,Moderate,37.4059,-122.04899999999999
Fog,Moderate,37.4059,-122.04899999999999
Fog,Moderate,37.4059,-122.04899999999999
Cold,Severe,42.743,-93.7592
Snow,Light,31.0673,-97.8289
Fog,Moderate,40.0853,-78.5122
Snow,Light,40.0853,-78.5122
Snow,Light,40.0853,-78.5122
Snow,Light,40.0853,-78.5122
Snow,Light,40.0853,-78.5122
Cold,Severe,42.1106,-92.9161
Snow,Light,36.3712,-82.1734
Fog,Moderate,39.8261,-84.0483
Fog,Severe,39.8261,-84.0483
Fog,Moderate,39.8261,-84.0483
Cold,Severe,48.48,-99.236
Cold,Severe,41.0185,-93.3608
Cold,Severe,43.208,-95.8352
Fog,Moderate,31.3087,-86.3938
Rain,Light,31.885,-82.647
Rain,Light,26.1597,-97.3378
Rain,Light,26.1597,-97.3378
Rain,Light,26.1597,-97.3378
Fog,Moderate,26.1597,-97.3378
Snow,Light,37.062,-81.7977
Snow,Light,37.062,-81.7977
Snow,Light,37.062,-81.7977
Snow,Light,37.062,-81.7977
Snow,Light,37.062,-81.7977
Snow,Light,37.062,-81.7977
Cold,Severe,43.6217,-96.2139
Cold,Severe,43.6496,-94.9884
Cold,Severe,38.2506,-86.9472
Fog,Moderate,39.7945,-105.7639
Fog,Moderate,39.7945,-105.7639
Storm,Severe,39.7945,-105.7639
Fog,Moderate,39.7945,-105.7639
Storm,Severe,39.7945,-105.7639
Storm,Severe,39.7945,-105.7639
Storm,Severe,39.7945,-105.7639
Storm,Severe,39.7945,-105.7639
Storm,Severe,39.7945,-105.7639
Storm,Severe,39.7945,-105.7639
Snow,Light,38.1847,-84.9033
Fog,Moderate,34.086,-118.0348
Rain,Light,31.5401,-82.5074
Rain,Light,31.5401,-82.5074
Rain,Light,31.5401,-82.5074
Rain,Light,31.5401,-82.5074
Fog,Moderate,39.7556,-82.6571
Cold,Severe,39.7556,-82.6571
Snow,Light,39.7556,-82.6571
Snow,Light,43.3504,-76.3832
Fog,Moderate,43.3504,-76.3832
Cold,Severe,43.3504,-76.3832
Snow,Light,43.3504,-76.3832
Fog,Moderate,43.3504,-76.3832
Snow,Light,43.3504,-76.3832
Fog,Severe,43.3504,-76.3832
Snow,Light,43.3504,-76.3832
Fog,Severe,36.3135,-119.3884
Fog,Moderate,36.3135,-119.3884
Cold,Severe,48.3904,-100.0243
Cold,Severe,46.218,-100.245
Snow,Light,42.2283,-85.546
Fog,Moderate,42.2283,-85.546
Snow,Light,42.2283,-85.546
