Index,Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Hour,Delay,Cancelled (Y/N)
14814,1/1/2018,AA,2001,ORD,PHL,90,678,4:55,4,-5,0
234,1/1/2018,UA,1977,ORD,RDU,81,646,5:58,5,-2,0
679,1/1/2018,UA,1251,ORD,EWR,89,719,5:00,5,-1,0
828,1/1/2018,UA,1037,ORD,DCA,83,612,5:58,5,-2,0
4046,1/1/2018,F9,1310,ORD,MIA,159,1197,5:55,5,-5,0
5885,1/1/2018,NK,409,ORD,FLL,156,1182,5:07,5,-8,0
13702,1/1/2018,AA,468,ORD,CLT,79,599,5:27,5,-2,0
15187,1/1/2018,AA,233,ORD,MIA,154,1197,5:09,5,-6,0
4,1/1/2018,UA,2424,ORD,ALB,83,723,6:50,6,20,0
168,1/1/2018,UA,2043,ORD,IAH,147,925,6:00,6,-5,0
290,1/1/2018,UA,1913,ORD,EWR,90,719,6:14,6,14,0
438,1/1/2018,UA,1750,ORD,CLT,82,599,6:01,6,-4,0
509,1/1/2018,UA,1634,ORD,ORF,89,717,6:06,6,1,0
746,1/1/2018,UA,1166,ORD,LGA,89,733,6:00,6,0,0
1235,1/1/2018,UA,496,ORD,BOS,107,867,6:01,6,0,0
1242,1/1/2018,UA,490,ORD,LAX,232,1744,6:31,6,11,0
1602,1/1/2018,AS,27,ORD,SEA,236,1721,6:44,6,44,0
2257,1/1/2018,9E,4066,ORD,JFK,91,740,6:57,6,-3,0
3807,1/1/2018,EV,4347,ORD,PWM,113,900,6:54,6,-6,0
4023,1/1/2018,F9,741,ORD,DEN,128,888,6:38,6,-2,0
5591,1/1/2018,NK,737,ORD,LAX,256,1744,6:03,6,3,0
5728,1/1/2018,NK,121,ORD,RSW,143,1120,6:53,6,-7,0
7086,1/1/2018,OO,3559,ORD,MSP,60,334,6:36,6,-5,0
7569,1/1/2018,OO,5064,ORD,MBS,42,222,6:56,6,-3,0
7911,1/1/2018,OO,5458,ORD,SAV,104,773,6:16,6,-4,0
13609,1/1/2018,YX,5960,ORD,LGA,95,733,6:28,6,-2,0
14205,1/1/2018,AA,2201,ORD,STL,39,258,6:00,6,184,0
15249,1/1/2018,AA,314,ORD,LGA,94,733,6:25,6,-5,0
15475,1/1/2018,AA,1532,ORD,MIA,159,1197,6:58,6,-5,0
17907,1/1/2018,DL,2979,ORD,SEA,246,1721,6:57,6,-3,0
211,1/1/2018,UA,1996,ORD,SJU,230,2072,7:42,7,2,0
218,1/1/2018,UA,1988,ORD,SFO,254,1846,7:54,7,49,0
449,1/1/2018,UA,1738,ORD,MIA,157,1197,7:27,7,-3,0
630,1/1/2018,UA,1417,ORD,FLL,154,1182,7:42,7,5,0
655,1/1/2018,UA,1283,ORD,PHL,86,678,7:29,7,-6,0
728,1/1/2018,UA,1189,ORD,RSW,141,1120,7:36,7,6,0
784,1/1/2018,UA,1123,ORD,SRQ,138,1050,7:54,7,-1,0
832,1/1/2018,UA,1023,ORD,TPA,135,1012,7:23,7,-7,0
1036,1/1/2018,UA,675,ORD,DEN,129,888,7:26,7,-5,0
1081,1/1/2018,UA,636,ORD,EWR,91,719,7:27,7,-4,0
1312,1/1/2018,UA,427,ORD,LGA,93,733,7:46,7,16,0
1570,1/1/2018,UA,204,ORD,LAX,241,1744,7:30,7,-5,0
2789,1/1/2018,B6,563,ORD,FLL,160,1182,7:17,7,17,0
3525,1/1/2018,EV,3978,ORD,RIC,84,642,7:28,7,13,0
4072,1/1/2018,F9,1294,ORD,MCO,134,1005,7:42,7,13,0
5586,1/1/2018,NK,729,ORD,TPA,131,1012,7:56,7,-4,0
7276,1/1/2018,OO,4616,ORD,SLC,195,1250,7:33,7,-2,0
7857,1/1/2018,OO,5404,ORD,PBI,166,1144,7:49,7,19,0
7941,1/1/2018,OO,5495,ORD,XNA,78,522,7:05,7,-5,0
8176,1/1/2018,OO,5827,ORD,BDL,98,783,7:03,7,63,0
8400,1/1/2018,VX,1201,ORD,SFO,262,1846,7:10,7,10,0
13312,1/1/2018,YX,3476,ORD,DTW,50,235,7:36,7,-9,0
13318,1/1/2018,YX,3482,ORD,BUF,69,474,7:09,7,-11,0
13335,1/1/2018,YX,3500,ORD,LGA,92,733,7:24,7,-1,0
13451,1/1/2018,YX,3640,ORD,DCA,78,612,7:31,7,-3,0
13465,1/1/2018,YX,3655,ORD,PIT,58,413,7:45,7,8,0
13749,1/1/2018,AA,510,ORD,CLT,81,599,7:11,7,-4,0
14273,1/1/2018,AA,2265,ORD,FLL,161,1182,7:56,7,11,0
14526,1/1/2018,AA,780,ORD,PHX,203,1440,7:10,7,0,0
15316,1/1/2018,AA,392,ORD,LGA,92,733,7:26,7,-4,0
15481,1/1/2018,AA,1537,ORD,PHL,87,678,7:25,7,22,0
16286,1/1/2018,DL,663,ORD,ATL,85,606,7:04,7,-1,0
626,1/1/2018,UA,1420,ORD,BOS,105,867,8:58,8,-1,0
716,1/1/2018,UA,1204,ORD,EGE,147,1007,8:54,8,-1,0
1045,1/1/2018,UA,667,ORD,PHX,201,1440,8:07,8,16,0
1086,1/1/2018,UA,632,ORD,IAD,77,588,8:42,8,2,0
1127,1/1/2018,UA,588,ORD,SLC,181,1250,8:54,8,-1,0
1599,1/1/2018,AS,23,ORD,SEA,242,1721,8:01,8,1,0
3506,1/1/2018,EV,3953,ORD,EVV,44,272,8:32,8,47,0
3550,1/1/2018,EV,4015,ORD,ICT,89,588,8:56,8,-7,0
