Airline,Origin,Delay (min),Airport
9E,ABY,-2.5,Southwest Georgia Regional Airport
9E,AEX,16.5,Alexandria International Airport
9E,AGS,32,Augusta Regional Airport (Bush Field)
9E,ATL,17.39344262,Hartsfield–Jackson Atlanta International Airport
9E,ATW,-6,Appleton International Airport
9E,AUS,-0.666666667,Austin–Bergstrom International Airport
9E,AVL,52.66666667,Asheville Regional Airport
9E,BGR,-5,Bangor International Airport
9E,BIS,-9.5,Bismarck Municipal Airport
9E,BMI,92,Central Illinois Regional Airport at Bloomington-Normal
9E,BNA,-0.75,Nashville International Airport (Berry Field)
9E,BOS,34.5,Gen. Edward Lawrence Logan International Airport
9E,BQK,-5.5,Brunswick Golden Isles Airport
9E,BTV,14.5,Burlington International Airport
9E,BUF,34.33333333,Buffalo Niagara International Airport
9E,BWI,-4,Baltimore/Washington International Airport
9E,CAE,172,Columbia Metropolitan Airport
9E,CHA,101.5,Chattanooga Metropolitan Airport (Lovell Field)
9E,CHS,-7,Charleston International Airport / Charleston AFB
9E,CID,-3,The Eastern Iowa Airport
9E,CLE,15.83333333,Cleveland Hopkins International Airport
9E,CLT,-5,Charlotte/Douglas International Airport
9E,CMH,100,John Glenn Columbus International Airport
9E,CSG,-11,Columbus Metropolitan Airport
9E,CVG,13.57142857,Cincinnati/Northern Kentucky International Airport
9E,CWA,-12,Central Wisconsin Airport
9E,DAY,-8,James M. Cox Dayton International Airport
9E,DCA,49,Ronald Reagan Washington National Airport
9E,DFW,,Dallas/Fort Worth International Airport
9E,DHN,-8,Dothan Regional Airport
9E,DSM,183.6666667,Des Moines International Airport
9E,DTW,8.860465116,Detroit Metropolitan Airport
9E,ELM,-11,Elmira/Corning Regional Airport
9E,EWN,-7,Coastal Carolina Regional Airport (was Craven County Regional)
9E,EWR,-5,Newark Liberty International Airport
9E,FAR,-3,Hector International Airport
9E,FAY,90,Fayetteville Regional Airport (Grannis Field)
9E,FSD,241,Sioux Falls Regional Airport (Joe Foss Field)
9E,FSM,-2,Fort Smith Regional Airport
9E,GFK,-6,Grand Forks International Airport
9E,GNV,-9.666666667,Gainesville Regional Airport
