IATA,ICAO,FAA,Airport,City,STATE,COUNTRY,LATITUDE,LONGITUDE
BHM,KBHM,BHM,Birmingham–Shuttlesworth International Airport,Birmingham,AL,USA,33.562940000000005,-86.75355
DHN,KDHN,DHN,Dothan Regional Airport,Dothan,AL,USA,31.321340000000003,-85.44963
HSV,KHSV,HSV,Huntsville International Airport (Carl T. Jones Field),Huntsville,AL,USA,34.64045,-86.77311
MOB,KMOB,MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283
MGM,KMGM,MGM,Montgomery Regional Airport (Dannelly Field),Montgomery,AL,USA,32.30064,-86.39398
MRI,PAMR,MRI,Merrill Field,Anchorage,,,,
ANC,PANC,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.174319999999994,-149.99618999999998
ANI,PANI,ANI,Aniak Airport,Aniak,,,,
BET,PABE,BET,Bethel Airport (also see Bethel Seaplane Base),Bethel,AK,USA,60.77978,-161.838
CDV,PACV,CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183000000001,-145.47765
SCC,PASC,SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516
DLG,PADL,DLG,Dillingham Airport,Dillingham,AK,USA,59.04541,-158.50333999999998
FAI,PAFA,FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967
GST,PAGS,GST,Gustavus Airport,Gustavus,AK,USA,58.424380000000006,-135.70738
HOM,PAHO,HOM,Homer Airport,Homer,,,,
JNU,PAJN,JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628
ENA,PAEN,ENA,Kenai Municipal Airport,Kenai,,,,
KTN,PAKT,KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35556999999999,-131.71374
AKN,PAKN,AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64921999999999
KLW,PAKW,AKW,Klawock Airport (also see Klawock Seaplane Base),Klawock,,,,
ADQ,PADQ,ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386
OTZ,PAOT,OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA,66.88468,-162.59855
OME,PAOM,OME,Nome Airport,Nome,AK,USA,64.5122,-165.44525
PSG,PAPG,PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA,56.80165,-132.94528
KSM,PASM,KSM,St. Mary's Airport,St. Mary's,,,,
SIT,PASI,SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616
UNK,PAUN,UNK,Unalakleet Airport,Unalakleet,,,,
DUT,PADU,DUT,Unalaska Airport (Tom Madsen Airport),Unalaska,,,,
BRW,PABR,BRW,Wiley Post–Will Rogers Memorial Airport,Utqiagvik,AK,USA,71.28545,-156.766
VDZ,PAVD,VDZ,Valdez Airport (Pioneer Field),Valdez,,,,
WRG,PAWG,WRG,Wrangell Airport (also see Wrangell Seaplane Base),Wrangell,AK,USA,56.48433000000001,-132.36982
YAK,PAYA,YAK,Yakutat Airport (also see Yakutat Seaplane Base),Yakutat,AK,USA,59.50336,-139.66023
IFP,KIFP,IFP,Laughlin/Bullhead International Airport,Bullhead City,,,,
FLG,KFLG,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,35.13845,-111.67121999999999
GCN,KGCN,GCN,Grand Canyon National Park Airport,Grand Canyon,,,,
AZA,KIWA,IWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),Mesa,,,,
PGA,KPGA,PGA,Page Municipal Airport,Page,,,,
PHX,KPHX,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806000000001
PRC,KPRC,PRC,Prescott Municipal Airport (Ernest A. Love Field),Prescott,,,,
TUS,KTUS,TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103
YUM,KNYL,NYL,Yuma International Airport / MCAS Yuma,Yuma,AZ,USA,32.65658,-114.60597
XNA,KXNA,XNA,Northwest Arkansas National Airport,Fayetteville,AR,USA,36.28187,-94.30681
FSM,KFSM,FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744
LIT,KLIT,LIT,Clinton National Airport (Adams Field) (was Little Rock National),Little Rock,AR,USA,34.7294,-92.22425
TXK,KTXK,TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99101999999999
ACV,KACV,ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.978120000000004,-124.10862
BFL,KBFL,BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677
BUR,KBUR,BUR,Hollywood Burbank Airport (was Bob Hope Airport),Burbank,CA,USA,34.20062,-118.3585
CCR,KCCR,CCR,Buchanan Field Airport,Concord,,,,
FAT,KFAT,FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.77619,-119.71813999999999
LGB,KLGB,LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161
LAX,KLAX,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
MMH,KMMH,MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83776999999999
MRY,KMRY,MRY,Monterey Regional Airport (was Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295
OAK,KOAK,OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072
ONT,KONT,ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60118999999999
SNA,KSNA,SNA,John Wayne Airport (was Orange County Airport),Orange County,CA,USA,33.67566,-117.86822
PSP,KPSP,PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625
RDD,KRDD,RDD,Redding Municipal Airport,Redding,CA,USA,40.50898,-122.2934
SMF,KSMF,SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59076999999999
SAN,KSAN,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966
SFO,KSFO,SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37483999999999
SJC,KSJC,SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901
SBP,KSBP,SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64238999999999
SBA,KSBA,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037
SMX,KSMX,SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758000000001
STS,KSTS,STS,Charles M. Schulz–Sonoma County Airport,Santa Rosa,,,,
SCK,KSCK,SCK,Stockton Metropolitan Airport,Stockton,,,,
ASE,KASE,ASE,Aspen/Pitkin County Airport (Sardy Field),Aspen,CO,USA,39.22316,-106.86885
COS,KCOS,COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025
DEN,KDEN,DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667
DRO,KDRO,DRO,Durango–La Plata County Airport,Durango,CO,USA,37.15152,-107.75376999999999
EGE,KEGE,EGE,Eagle County Regional Airport,Eagle/Vail,CO,USA,39.64257,-106.9177
GJT,KGJT,GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,39.122409999999995,-108.52673
GUC,KGUC,GUC,Gunnison–Crested Butte Regional Airport,Gunnison,CO,USA,38.53396,-106.93318000000001
HDN,KHDN,HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,USA,40.48118,-107.21766000000001
MTJ,KMTJ,MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383000000001
PUB,KPUB,PUB,Pueblo Memorial Airport,Pueblo,CO,USA,38.28909,-104.49656999999999
BDL,KBDL,BDL,Bradley International Airport,Hartford,CT,USA,41.93887,-72.68323000000001
HVN,KHVN,HVN,Tweed New Haven Regional Airport,New Haven,,,,
DAB,KDAB,DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.179920000000003,-81.05806
FLL,KFLL,FLL,Fort Lauderdale–Hollywood International Airport,Fort Lauderdale,FL,USA,26.07258,-80.15275
